1000 2470
165 625 60
625 267 84
625 353 13
625 506 91
215 626 82
477 626 29
627 4 84
41 627 6
70 627 13
287 627 82
627 527 95
165 629 59
629 288 68
630 52 92
186 630 19
630 223 84
45 631 58
631 73 10
426 631 66
632 20 22
632 217 26
632 379 38
632 475 69
632 496 82
529 632 60
534 632 10
209 633 78
633 508 70
479 634 22
636 177 31
185 636 38
636 190 12
637 51 48
150 637 58
637 163 24
637 214 26
637 221 11
587 637 9
628 637 49
192 638 69
638 198 63
638 291 6
334 638 94
638 459 7
638 581 44
24 639 42
33 639 7
46 639 30
178 639 85
639 281 49
395 639 74
415 639 37
107 640 13
640 346 69
347 641 27
641 535 37
18 642 540
255 642 61
642 393 10
643 282 13
425 644 15
644 603 76
201 645 29
204 645 3
645 391 2
397 645 63
645 588 70
646 172 21
272 646 87
356 646 68
376 646 64
646 583 21
647 425 52
122 648 57
648 302 24
648 584 96
649 90 45
649 189 67
261 649 68
649 269 72
649 400 35
172 650 85
650 325 56
651 361 35
651 368 5
652 419 80
468 652 75
599 652 29
653 567 6
654 146 42
187 654 41
549 654 26
654 561 86
616 654 35
43 656 69
299 656 9
602 656 9
19 658 87
158 658 51
172 658 98
658 208 27
32 659 43
543 659 49
163 660 44
660 211 58
660 219 22
259 660 56
660 302 75
390 660 46
660 548 68
660 622 50
661 49 57
76 661 37
109 661 88
661 158 74
661 294 84
611 661 81
661 662 43
663 21 33
663 140 40
567 663 38
663 573 99
624 663 13
391 664 34
509 664 72
629 664 23
118 665 38
665 159 62
665 267 81
665 401 36
86 666 29
666 114 81
392 667 38
396 667 56
454 667 42
667 646 43
58 668 33
580 668 22
669 186 97
616 669 10
619 669 10
670 144 99
670 187 98
670 652 30
412 671 81
671 479 91
672 233 79
672 250 89
253 672 19
617 672 52
158 673 1
173 673 81
674 161 69
204 674 38
674 377 32
674 379 9
432 674 90
674 596 74
675 546 56
12 676 58
122 676 47
194 676 82
677 521 65
677 614 81
256 678 34
678 436 8
679 233 81
26 680 44
680 40 35
68 680 44
681 160 71
681 235 44
681 338 96
341 682 92
582 682 99
318 683 89
684 213 37
264 684 71
393 684 87
684 426 14
464 684 71
685 151 48
210 685 64
685 608 33
686 96 78
686 301 68
613 686 85
128 687 33
687 258 29
687 398 71
687 521 40
46 688 69
688 86 4
125 688 46
153 688 18
688 281 50
348 688 10
688 466 30
689 60 27
689 304 46
689 665 4
690 177 84
360 690 40
690 405 80
690 603 89
691 150 42
691 634 83
692 335 19
693 199 22
294 693 82
693 467 50
694 66 25
183 694 72
694 326 70
486 694 90
695 41 68
398 695 27
419 695 81
696 117 22
196 696 82
563 696 24
616 696 95
697 125 60
697 269 78
697 338 82
699 288 17
491 699 1
39 700 12
700 119 93
700 170 61
700 191 18
700 246 74
337 700 21
700 405 9
49 701 77
193 701 73
701 387 81
471 701 25
110 702 83
702 149 25
545 702 81
702 676 91
704 130 81
220 704 28
704 300 49
442 704 85
500 704 99
593 704 55
610 704 30
705 218 59
705 247 8
430 705 19
454 705 2
177 706 43
441 706 48
707 417 40
707 507 96
594 707 44
707 692 54
68 708 31
708 208 91
708 625 91
33 709 15
709 203 13
490 709 68
710 329 41
711 601 70
712 88 34
318 712 65
712 517 30
534 712 55
560 712 67
183 713 66
713 193 72
194 713 47
281 713 37
403 713 56
713 546 63
713 561 53
4 714 33
714 352 12
714 518 39
715 49 53
715 211 61
250 715 19
715 356 97
715 464 91
715 635 97
716 363 87
462 716 75
569 716 4
675 716 58
23 717 38
127 717 76
717 476 30
705 717 2
718 154 40
570 718 14
211 719 81
529 719 13
719 652 1
168 720 46
288 720 42
478 720 22
541 720 89
721 136 90
288 721 64
721 354 18
721 647 7
281 722 72
450 722 31
620 722 65
636 722 41
717 722 72
3 723 83
723 7 28
381 723 82
723 598 45
18 724 88
157 724 29
724 386 19
390 724 66
724 488 76
213 725 34
487 726 22
640 726 27
726 651 2
727 5 77
727 605 27
0 728 66
728 380 44
499 728 46
507 729 9
524 729 75
729 556 64
576 729 67
729 718 25
367 730 37
730 628 36
649 730 66
718 730 98
731 45 39
330 731 83
731 484 53
141 732 26
732 144 91
39 733 17
427 733 79
550 733 59
118 734 49
734 420 63
424 734 12
496 734 91
734 610 84
669 734 37
734 730 5
735 5 70
296 735 62
320 735 70
432 735 96
607 735 26
736 91 12
356 736 71
541 736 28
628 736 95
737 84 81
737 114 59
737 260 89
737 442 70
567 737 32
699 737 1
738 73 84
81 738 62
738 263 27
738 266 44
738 367 68
738 444 39
739 43 50
739 119 16
182 739 65
739 183 2
310 739 18
405 739 85
432 739 29
736 739 92
740 7 62
64 740 24
740 340 47
489 740 96
740 491 67
741 135 91
712 741 66
742 199 44
425 742 56
698 742 93
718 742 50
743 367 92
743 570 5
43 744 6
744 95 44
338 744 4
519 744 90
744 524 37
744 570 32
602 744 15
85 745 31
122 745 63
745 158 94
745 337 75
745 361 55
745 435 83
745 499 54
651 745 90
703 745 61
746 15 64
381 746 73
406 746 18
746 555 43
74 747 51
105 747 50
747 230 45
425 747 12
474 747 84
748 501 1
664 748 94
231 749 35
749 351 38
749 373 77
144 751 54
556 751 27
752 175 97
413 753 53
485 753 40
739 753 56
6 754 84
754 382 68
583 755 27
755 663 57
756 84 64
110 756 17
756 148 2
162 756 55
233 756 29
756 379 67
459 756 6
756 676 1
682 756 6
757 7 37
757 196 20
333 757 67
651 757 82
284 758 28
759 644 47
12 760 79
760 58 15
760 663 78
760 720 47
761 479 65
761 557 8
761 760 7
762 39 96
762 59 61
510 762 71
118 763 45
289 763 77
371 763 9
763 416 13
763 661 98
764 191 40
330 764 63
652 764 3
765 17 50
41 765 59
491 765 82
765 756 24
757 765 4
766 81 51
766 92 27
208 766 71
414 766 28
766 610 54
767 164 41
609 767 12
82 768 94
327 768 79
561 768 5
769 131 92
171 769 98
288 769 6
528 769 37
770 366 15
465 770 41
770 634 65
770 669 22
207 771 5
771 597 92
771 602 38
771 659 90
766 771 98
209 772 83
215 772 17
772 279 21
415 772 53
632 772 43
655 772 26
680 772 69
772 686 64
735 772 87
773 38 31
773 362 65
380 773 77
775 345 86
428 775 24
446 775 74
775 497 84
775 521 49
775 605 42
207 776 36
776 367 9
446 776 49
496 776 92
642 776 57
776 685 4
16 777 84
337 777 50
452 777 96
777 744 21
760 777 1
778 34 17
43 778 85
778 164 39
778 228 79
559 778 68
778 686 10
57 779 4
112 779 71
118 779 60
779 353 83
381 779 61
74 780 61
780 509 20
780 604 62
654 780 65
677 780 22
147 781 99
781 236 6
781 264 75
781 401 62
781 492 59
542 781 57
661 781 10
782 268 94
494 782 57
782 698 17
769 782 89
219 783 13
588 783 94
783 628 64
783 631 64
784 48 56
113 784 92
225 784 37
249 784 9
339 784 12
681 784 88
784 720 7
785 188 61
326 785 95
786 382 68
786 435 44
527 786 21
787 764 36
164 788 55
789 35 16
789 123 56
283 789 55
789 368 23
424 789 1
789 493 62
737 789 16
790 304 50
790 317 46
422 790 62
748 790 12
495 791 1
791 694 64
792 96 52
216 792 8
381 792 95
792 591 29
792 612 11
793 13 1
237 793 57
612 793 65
793 705 92
723 793 32
793 742 85
190 794 16
795 84 38
733 795 47
796 5 4
796 160 88
796 298 5
372 796 83
413 796 66
796 552 30
796 780 70
57 797 7
699 797 49
133 798 19
270 798 52
766 798 15
8 799 72
799 66 87
799 181 53
359 799 67
624 799 46
800 2 1
215 800 80
742 800 54
21 801 4
442 801 2
801 618 93
200 802 68
802 322 10
802 406 88
802 433 62
802 708 96
802 730 50
770 802 20
270 803 56
803 461 87
803 471 57
803 725 42
212 804 29
275 804 61
300 804 39
804 305 40
393 804 40
804 398 4
804 466 54
609 804 54
805 121 6
135 805 21
525 805 23
806 119 63
806 383 67
714 806 49
145 807 26
807 328 82
444 807 9
807 622 26
705 807 17
123 808 35
335 808 79
427 808 24
809 330 5
809 573 25
809 599 48
809 726 13
377 810 73
810 501 54
662 810 38
810 675 62
522 811 61
530 811 25
811 789 60
812 349 48
234 813 95
813 243 16
154 814 81
211 814 8
462 814 94
815 29 55
815 68 28
531 815 77
93 816 26
816 156 56
816 304 40
319 816 37
755 816 34
105 817 72
115 817 76
817 522 38
3 818 42
93 818 89
818 202 63
818 320 99
380 818 42
819 163 64
319 819 57
819 457 77
819 521 91
633 819 34
556 820 63
629 820 83
820 736 39
815 820 80
32 821 52
821 61 80
821 444 8
822 347 52
822 415 8
822 430 64
30 823 40
479 823 81
511 823 1
655 823 67
696 823 73
824 322 64
825 562 31
825 777 17
173 826 4
694 826 12
827 295 44
827 515 94
63 828 6
398 828 83
61 829 57
70 829 85
380 829 31
512 829 95
696 829 58
830 52 53
249 830 75
257 830 74
831 282 39
364 831 82
831 417 71
831 437 74
731 831 11
770 831 28
832 22 92
832 215 46
832 313 77
832 512 73
832 634 80
788 832 99
832 817 63
833 82 95
833 469 57
799 833 79
834 142 42
426 834 59
475 834 29
834 492 91
581 834 34
834 714 80
834 784 1
835 203 21
334 835 22
725 835 64
820 835 60
39 836 52
233 836 69
258 836 5
291 836 71
412 836 38
507 836 70
836 628 33
836 643 12
371 837 75
837 785 5
838 31 97
838 97 52
137 838 1
838 401 2
838 575 66
838 615 45
624 838 9
838 737 74
838 816 19
529 839 38
659 839 7
840 57 15
840 171 67
840 566 65
660 840 12
840 801 63
841 89 79
209 841 28
841 221 30
772 841 39
808 841 44
842 93 12
842 98 99
842 351 26
767 842 27
843 340 7
843 391 2
843 529 7
731 843 38
843 781 6
56 844 41
136 844 50
194 844 5
844 371 42
434 844 46
470 844 89
846 158 90
846 162 33
846 251 9
846 446 78
846 479 88
567 846 36
704 846 5
846 790 76
833 846 51
838 846 70
847 173 32
247 847 44
847 728 97
43 848 46
181 848 77
278 848 24
401 848 16
848 470 46
848 846 64
849 27 61
314 849 72
454 849 93
849 494 1
849 635 84
678 849 1
850 80 96
850 361 1
850 425 97
850 575 7
850 734 97
842 850 59
851 278 86
851 412 49
751 851 11
228 852 35
852 759 23
852 824 26
325 853 60
853 385 49
853 522 48
854 66 96
854 135 13
854 394 99
854 572 50
576 854 85
767 854 31
375 855 3
477 855 28
855 648 53
856 359 42
469 856 32
856 482 53
856 518 45
856 523 16
856 832 38
857 15 41
250 857 59
256 857 26
857 789 55
858 440 48
456 858 87
630 858 89
746 858 28
752 858 72
859 184 82
859 197 14
241 859 89
362 859 21
859 404 62
859 474 62
658 859 47
449 861 51
815 861 20
293 862 18
862 400 52
862 560 52
862 680 54
690 862 88
862 704 11
863 97 6
155 863 66
863 573 96
645 863 10
260 864 83
602 864 30
865 97 11
471 865 22
101 866 77
371 866 18
323 867 62
867 363 89
867 435 75
524 867 1
532 867 9
867 729 85
200 868 38
868 319 15
868 601 98
863 868 57
869 95 23
106 869 22
325 869 69
327 870 89
488 870 8
836 870 56
212 871 69
254 871 29
270 871 97
871 590 90
872 165 35
872 422 59
872 788 44
872 816 17
861 872 6
870 872 64
297 873 90
873 382 66
461 873 90
873 635 71
873 652 22
718 873 93
828 873 53
283 874 68
498 874 86
874 788 9
875 41 55
102 875 70
122 875 67
875 166 40
875 367 82
875 650 60
149 876 84
208 876 7
223 876 92
368 876 44
876 600 41
806 876 97
877 27 16
877 78 89
877 196 27
404 877 80
877 572 83
877 730 5
878 571 67
102 879 48
580 879 55
880 504 81
880 677 31
880 719 48
881 214 37
881 684 85
764 881 62
793 881 30
881 840 95
40 882 62
184 882 91
882 388 84
428 882 69
882 652 80
882 751 56
87 883 12
208 883 72
406 883 29
883 586 81
216 884 9
884 413 52
93 885 79
98 885 85
885 135 61
885 177 85
358 885 97
885 401 24
511 885 61
885 532 18
649 886 9
886 781 21
326 887 12
887 417 1
56 888 8
145 889 52
179 889 30
351 889 28
889 560 93
608 889 71
138 890 89
191 890 11
890 430 64
890 587 92
866 890 43
891 44 95
460 891 62
539 891 49
891 587 81
891 887 45
122 892 10
175 892 52
230 892 65
892 478 45
341 893 36
601 893 55
652 893 10
893 820 97
108 894 35
218 894 37
692 894 82
894 870 79
895 258 74
481 895 56
412 896 97
555 896 55
896 892 56
897 40 73
179 897 62
658 897 38
897 701 31
897 761 22
852 897 9
598 898 19
898 850 31
858 898 24
898 867 24
898 877 12
473 899 50
554 899 91
565 899 55
899 685 27
141 900 77
198 900 3
259 900 41
900 404 6
900 411 30
445 900 88
459 900 45
900 618 90
625 900 32
122 901 73
901 472 19
901 666 79
709 901 46
902 21 52
902 99 93
147 902 67
902 576 86
902 668 66
902 672 82
506 903 84
903 632 77
903 671 63
903 885 1
764 904 96
396 905 79
905 492 30
905 592 23
626 905 2
906 2 27
906 230 54
286 906 67
373 906 30
907 141 70
550 907 98
907 601 16
907 775 43
558 908 5
858 908 72
879 908 59
899 908 41
909 144 91
163 909 21
909 265 67
284 909 17
909 332 63
517 909 45
632 909 49
662 909 73
1 910 66
910 329 16
910 445 23
498 910 84
911 492 94
496 911 68
911 711 16
911 905 82
912 17 12
912 23 35
912 263 30
912 350 75
595 912 59
820 912 77
913 38 90
913 71 83
913 387 79
913 444 42
913 469 22
913 651 78
896 913 52
914 30 29
110 914 28
333 914 58
369 914 90
914 435 1
467 914 36
833 914 51
843 914 90
849 914 81
915 16 18
915 161 48
915 242 9
915 396 72
915 454 62
915 669 79
915 686 96
915 695 25
861 915 77
141 916 62
916 227 80
916 586 86
647 916 76
6 917 45
454 917 20
917 535 65
917 580 18
782 917 68
917 885 69
55 918 39
285 918 13
918 573 22
918 675 14
98 919 41
296 919 39
582 919 32
269 920 12
920 393 46
920 745 93
920 831 3
921 38 11
921 97 28
225 921 32
921 328 28
360 921 75
529 921 18
921 570 48
30 922 38
922 231 22
304 922 75
922 414 26
922 458 62
922 725 74
729 922 74
819 922 35
922 869 45
923 149 95
739 923 1
33 924 44
86 924 89
396 924 99
924 855 84
881 924 35
925 209 39
350 925 95
644 925 30
926 8 77
88 926 37
926 510 70
8 927 92
156 927 3
927 205 99
927 286 13
927 426 43
604 927 54
55 928 39
928 556 60
928 772 8
928 773 26
929 4 70
929 102 36
249 929 49
929 307 54
458 929 13
478 929 94
929 490 11
929 795 67
884 929 44
930 149 24
930 446 5
603 930 12
930 635 63
838 930 78
249 931 44
931 482 15
931 639 33
932 290 23
579 932 63
703 932 51
933 318 41
934 413 24
935 557 76
790 935 29
797 935 88
44 936 68
342 936 79
831 936 58
78 937 13
937 101 9
193 937 47
271 937 1
671 937 18
938 189 86
938 253 97
938 628 10
757 938 20
835 938 42
863 938 6
939 53 93
301 939 14
939 489 70
939 599 35
723 939 30
939 734 91
785 939 17
939 935 30
233 940 46
940 574 83
779 940 48
940 890 80
941 7 15
271 941 28
297 941 98
469 941 46
941 628 78
193 942 60
299 942 51
943 132 31
715 943 4
907 943 47
929 943 6
97 944 25
146 944 13
944 536 28
601 944 82
614 944 41
884 944 72
911 944 15
536 945 21
887 945 11
947 266 89
593 947 62
947 675 55
947 872 27
948 76 81
121 948 63
948 239 1
544 948 43
949 512 46
949 615 20
664 949 53
23 950 2
42 950 59
950 147 57
617 950 36
656 950 20
168 951 92
951 618 67
951 731 79
748 951 36
951 839 88
25 952 22
952 129 37
474 952 94
952 866 64
945 952 6
236 953 90
330 953 39
641 953 44
953 726 76
748 953 30
953 774 70
954 62 97
771 954 61
954 851 34
954 937 40
955 160 75
955 493 75
955 557 40
955 647 6
956 5 62
956 25 56
136 956 51
956 238 36
956 403 22
956 485 56
956 776 45
143 957 75
957 288 73
453 957 73
463 957 41
606 957 68
799 957 32
957 822 63
862 957 47
65 958 99
958 374 1
958 757 9
959 30 50
959 135 61
959 410 52
823 959 45
959 893 48
960 273 87
960 844 9
924 960 70
272 961 74
961 603 2
962 80 98
962 82 57
382 962 97
963 182 81
358 963 1
963 431 68
486 963 37
963 704 15
964 390 71
964 679 81
703 964 97
188 965 21
217 965 62
222 965 67
258 965 33
485 965 7
965 571 55
735 965 89
966 60 54
90 966 66
966 101 96
241 966 59
9 967 83
967 246 56
967 249 81
967 280 72
967 294 46
170 968 19
551 968 69
968 779 98
785 968 47
862 968 67
89 969 84
209 969 36
286 969 1
970 94 36
